"file","segment","start","end","dur","filedur","mean_intensity","nsyll","npause","dur(s)","phonationtime(s)","speechrate(nsyll/dur)","articulationrate(nsyll/phonationtime)","ASD(speakingtime/nsyll)","nrFP","tFP(s)"
"Track15_noNarrator","np",0,3.68,3.68,358.182,79.726,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",3.68,3.808,0.128,358.182,38.086,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",3.808,4.248,0.44,358.182,78.533,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",4.248,5.729,1.48,358.182,78.562,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",5.729,5.754,0.025,358.182,37.156,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",5.754,6.608,0.854,358.182,77.589,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",6.608,6.644,0.036,358.182,28.867,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",6.644,8.988,2.344,358.182,77.788,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",8.988,9.016,0.028,358.182,28.257,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",9.016,9.733,0.716,358.182,44.944,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","um",9.733,10.233,0.5,358.182,76.265,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",10.233,11.732,1.499,358.182,78.293,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","ex",11.732,11.89,0.158,358.182,50.678,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",11.89,12.927,1.037,358.182,79.969,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",12.927,13.064,0.137,358.182,37.262,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",13.064,14.469,1.405,358.182,80.897,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",14.469,14.573,0.104,358.182,30.42,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",14.573,16.021,1.447,358.182,76.518,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",16.021,16.806,0.785,358.182,19.983,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",16.806,17.225,0.42,358.182,78.872,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","um",17.225,17.625,0.4,358.182,79.729,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",17.625,22.458,4.833,358.182,77.349,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",22.458,23.085,0.626,358.182,42.675,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",23.085,23.153,0.068,358.182,27.844,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","um",23.153,23.517,0.364,358.182,81.186,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",23.517,24.179,0.662,358.182,81.92,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",24.179,24.409,0.23,358.182,82.457,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",24.409,25.309,0.9,358.182,78.546,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",25.309,25.432,0.122,358.182,54.765,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","um",25.432,25.763,0.331,358.182,78.153,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",25.763,27.82,2.057,358.182,77.54,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",27.82,28.373,0.553,358.182,76.061,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",28.373,30.995,2.622,358.182,78.103,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",30.995,31.499,0.504,358.182,45.559,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","um",31.499,31.848,0.349,358.182,74.164,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",31.848,32.895,1.047,358.182,79.828,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",32.895,33.222,0.328,358.182,28.047,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",33.222,33.699,0.477,358.182,40.579,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",33.699,33.755,0.056,358.182,28.87,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",33.755,34.163,0.408,358.182,79.449,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",34.163,34.221,0.058,358.182,34.596,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",34.221,40.089,5.868,358.182,77.142,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",40.089,40.157,0.068,358.182,31.952,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",40.157,40.447,0.29,358.182,46.924,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",40.447,40.497,0.05,358.182,36.657,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",40.497,40.811,0.313,358.182,81.109,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",40.811,40.976,0.166,358.182,33.378,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",40.976,41.306,0.329,358.182,40.016,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",41.306,41.333,0.027,358.182,33.04,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",41.333,42.4,1.067,358.182,79.763,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",42.4,42.495,0.095,358.182,29.569,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",42.495,47.708,5.212,358.182,77.489,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",47.708,48.196,0.488,358.182,44.022,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",48.196,48.233,0.038,358.182,31.153,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",48.233,48.616,0.383,358.182,78.287,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",48.616,49.619,1.003,358.182,79.571,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",49.619,49.716,0.097,358.182,39.74,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",49.716,52.332,2.616,358.182,79.072,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",52.332,52.424,0.092,358.182,34.082,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",52.424,53.1,0.675,358.182,74.32,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",53.1,53.913,0.814,358.182,22.598,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",53.913,54.271,0.357,358.182,79.246,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",54.271,54.343,0.072,358.182,34.164,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",54.343,55.68,1.338,358.182,79.741,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",55.68,55.97,0.29,358.182,29.706,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",55.97,57.138,1.168,358.182,80.124,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",57.138,57.417,0.279,358.182,78.265,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",57.417,57.524,0.106,358.182,35.916,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",57.524,57.995,0.472,358.182,39.216,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",57.995,58.256,0.261,358.182,75.209,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",58.256,58.294,0.038,358.182,34.292,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",58.294,59.054,0.76,358.182,80.169,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",59.054,59.466,0.412,358.182,76.766,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",59.466,59.506,0.04,358.182,57.255,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",59.506,60.696,1.19,358.182,77.853,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",60.696,61.308,0.612,358.182,41.814,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",61.308,61.355,0.047,358.182,27.567,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",61.355,69.389,8.034,358.182,79.668,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",69.389,69.812,0.423,358.182,28.505,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",69.812,70.63,0.817,358.182,42.903,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",70.63,70.66,0.031,358.182,27.464,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","um",70.66,71.01,0.35,358.182,81.563,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",71.01,71.104,0.094,358.182,35.046,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","cl",71.104,71.14,0.036,358.182,41.541,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",71.14,71.885,0.745,358.182,80.371,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",71.885,71.935,0.05,358.182,35.898,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",71.935,74.053,2.117,358.182,78.03,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",74.053,74.152,0.099,358.182,32.482,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",74.152,75.232,1.081,358.182,78.787,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",75.232,75.293,0.061,358.182,38.245,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",75.293,75.554,0.261,358.182,80.119,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",75.554,75.589,0.034,358.182,36.737,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",75.589,76.61,1.021,358.182,80.754,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",76.61,76.662,0.052,358.182,33.229,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",76.662,78.101,1.439,358.182,78.323,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",78.101,78.144,0.043,358.182,30.391,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",78.144,78.69,0.545,358.182,42.22,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",78.69,78.742,0.052,358.182,28.393,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",78.742,82.204,3.462,358.182,79.29,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",82.204,83.264,1.06,358.182,29.466,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",83.264,83.74,0.476,358.182,78.382,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",83.74,84.024,0.284,358.182,80.356,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",84.024,88.255,4.231,358.182,80.023,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",88.255,88.446,0.191,358.182,34.362,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",88.446,91.123,2.677,358.182,79.458,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",91.123,91.189,0.066,358.182,41.477,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",91.189,92.474,1.285,358.182,37.817,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",92.474,92.523,0.049,358.182,40.716,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","um",92.523,92.841,0.319,358.182,81.658,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",92.841,92.919,0.078,358.182,39.227,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","ex",92.919,93.387,0.468,358.182,70.994,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",93.387,93.745,0.358,358.182,79.516,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",93.745,93.807,0.062,358.182,33.364,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",93.807,94.039,0.232,358.182,76.199,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",94.039,95.607,1.569,358.182,79.051,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",95.607,95.98,0.373,358.182,42.313,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",95.98,96.04,0.06,358.182,33.548,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",96.04,96.331,0.291,358.182,78.149,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",96.331,96.405,0.075,358.182,37.547,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",96.405,99.692,3.287,358.182,78.861,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",99.692,99.752,0.06,358.182,34.826,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",99.752,101.266,1.513,358.182,77.452,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",101.266,101.314,0.049,358.182,29.564,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",101.314,101.914,0.599,358.182,38.606,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",101.914,101.958,0.044,358.182,32.71,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",101.958,102.233,0.275,358.182,76.38,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",102.233,104.366,2.133,358.182,79.054,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",104.366,104.447,0.081,358.182,30.249,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","um",104.447,104.862,0.415,358.182,78.775,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","ex",104.862,105.135,0.273,358.182,49.98,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",105.135,107.168,2.033,358.182,78.508,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",107.168,107.197,0.029,358.182,31.997,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",107.197,107.72,0.523,358.182,40.836,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
