file, segment, start, end, dur, filedur, mean_intensity
Track15_noNarrator,np,0,3.680,3.680,358.182,79.726,
Track15_noNarrator,pau,3.680,3.808,0.128,358.182,38.086,
Track15_noNarrator,uh,3.808,4.248,0.440,358.182,78.533,
Track15_noNarrator,np,4.248,5.729,1.480,358.182,78.562,
Track15_noNarrator,pau,5.729,5.754,0.025,358.182,37.156,
Track15_noNarrator,np,5.754,6.608,0.854,358.182,77.589,
Track15_noNarrator,pau,6.608,6.644,0.036,358.182,28.867,
Track15_noNarrator,np,6.644,8.988,2.344,358.182,77.788,
Track15_noNarrator,pau,8.988,9.016,0.028,358.182,28.257,
Track15_noNarrator,in,9.016,9.733,0.716,358.182,44.944,
Track15_noNarrator,um,9.733,10.233,0.500,358.182,76.265,
Track15_noNarrator,np,10.233,11.732,1.499,358.182,78.293,
Track15_noNarrator,ex,11.732,11.890,0.158,358.182,50.678,
Track15_noNarrator,np,11.890,12.927,1.037,358.182,79.969,
Track15_noNarrator,pau,12.927,13.064,0.137,358.182,37.262,
Track15_noNarrator,np,13.064,14.469,1.405,358.182,80.897,
Track15_noNarrator,pau,14.469,14.573,0.104,358.182,30.420,
Track15_noNarrator,np,14.573,16.021,1.447,358.182,76.518,
Track15_noNarrator,pau,16.021,16.806,0.785,358.182,19.983,
Track15_noNarrator,np,16.806,17.225,0.420,358.182,78.872,
Track15_noNarrator,um,17.225,17.625,0.400,358.182,79.729,
Track15_noNarrator,np,17.625,22.458,4.833,358.182,77.349,
Track15_noNarrator,in,22.458,23.085,0.626,358.182,42.675,
Track15_noNarrator,pau,23.085,23.153,0.068,358.182,27.844,
Track15_noNarrator,um,23.153,23.517,0.364,358.182,81.186,
Track15_noNarrator,np,23.517,24.179,0.662,358.182,81.920,
Track15_noNarrator,uh,24.179,24.409,0.230,358.182,82.457,
Track15_noNarrator,np,24.409,25.309,0.900,358.182,78.546,
Track15_noNarrator,pau,25.309,25.432,0.122,358.182,54.765,
Track15_noNarrator,um,25.432,25.763,0.331,358.182,78.153,
Track15_noNarrator,np,25.763,27.820,2.057,358.182,77.540,
Track15_noNarrator,uh,27.820,28.373,0.553,358.182,76.061,
Track15_noNarrator,np,28.373,30.995,2.622,358.182,78.103,
Track15_noNarrator,in,30.995,31.499,0.504,358.182,45.559,
Track15_noNarrator,um,31.499,31.848,0.349,358.182,74.164,
Track15_noNarrator,np,31.848,32.895,1.047,358.182,79.828,
Track15_noNarrator,pau,32.895,33.222,0.328,358.182,28.047,
Track15_noNarrator,in,33.222,33.699,0.477,358.182,40.579,
Track15_noNarrator,pau,33.699,33.755,0.056,358.182,28.870,
Track15_noNarrator,np,33.755,34.163,0.408,358.182,79.449,
Track15_noNarrator,pau,34.163,34.221,0.058,358.182,34.596,
Track15_noNarrator,np,34.221,40.089,5.868,358.182,77.142,
Track15_noNarrator,pau,40.089,40.157,0.068,358.182,31.952,
Track15_noNarrator,in,40.157,40.447,0.290,358.182,46.924,
Track15_noNarrator,pau,40.447,40.497,0.050,358.182,36.657,
Track15_noNarrator,np,40.497,40.811,0.313,358.182,81.109,
Track15_noNarrator,pau,40.811,40.976,0.166,358.182,33.378,
Track15_noNarrator,in,40.976,41.306,0.329,358.182,40.016,
Track15_noNarrator,pau,41.306,41.333,0.027,358.182,33.040,
Track15_noNarrator,np,41.333,42.400,1.067,358.182,79.763,
Track15_noNarrator,pau,42.400,42.495,0.095,358.182,29.569,
