file, segment, start, end, dur, filedur, mean_intensity
engl310_01_20min,np,0,0.723,0.723,1200.470,34.310,
engl310_01_20min,cl,0.723,0.789,0.066,1200.470,59.313,
engl310_01_20min,pau,0.789,0.871,0.082,1200.470,43.785,
engl310_01_20min,np,0.871,1.171,0.300,1200.470,83.431,
engl310_01_20min,pau,1.171,1.229,0.058,1200.470,54.231,
engl310_01_20min,in,1.229,1.702,0.473,1200.470,55.395,
engl310_01_20min,uh,1.702,1.895,0.193,1200.470,76.427,
engl310_01_20min,pau,1.895,2.194,0.299,1200.470,52.048,
engl310_01_20min,np,2.194,2.682,0.488,1200.470,77.944,
engl310_01_20min,uh,2.682,2.973,0.291,1200.470,80.128,
engl310_01_20min,pau,2.973,3.276,0.302,1200.470,44.834,
engl310_01_20min,np,3.276,3.933,0.658,1200.470,78.660,
engl310_01_20min,pau,3.933,4.126,0.193,1200.470,61.480,
engl310_01_20min,np,4.126,5.440,1.314,1200.470,77.851,
engl310_01_20min,ex,5.440,5.861,0.421,1200.470,55.722,
engl310_01_20min,pau,5.861,5.971,0.110,1200.470,45.587,
engl310_01_20min,in,5.971,6.379,0.408,1200.470,61.978,
engl310_01_20min,uh,6.379,6.651,0.271,1200.470,78.768,
engl310_01_20min,np,6.651,8.188,1.538,1200.470,77.112,
engl310_01_20min,pau,8.188,8.268,0.080,1200.470,49.677,
engl310_01_20min,in,8.268,8.572,0.304,1200.470,55.852,
engl310_01_20min,pau,8.572,8.635,0.064,1200.470,47.714,
engl310_01_20min,np,8.635,10.077,1.441,1200.470,79.673,
engl310_01_20min,in,10.077,10.440,0.363,1200.470,58.199,
engl310_01_20min,pau,10.440,10.515,0.075,1200.470,47.327,
engl310_01_20min,np,10.515,11.219,0.704,1200.470,82.862,
engl310_01_20min,uh,11.219,11.443,0.224,1200.470,81.873,
engl310_01_20min,np,11.443,12.283,0.840,1200.470,83.064,
engl310_01_20min,pau,12.283,12.363,0.080,1200.470,56.757,
