name, nsyll, npause, dur(s), phonationtime(s), speechrate(nsyll/dur), articulation_rate(nsyll/phonationtime), ASD(speakingtime/nsyll), nrFP, tFP(s)
engl310_01_20min,3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
engl310_13_20min,2621,454,1201.91,801.28,2.18,3.27,0.306,603,155.376
engl310_24_20min,3154,512,1202.08,875.92,2.62,3.6,0.278,616,136.419
evst255_01_20min,3969,390,1201.65,999.66,3.3,3.97,0.252,627,120.102
evst255_13_20min,4401,545,1515.06,1138.24,2.9,3.87,0.259,509,94.278
evst255_24_20min,4082,386,1200.36,991.15,3.4,4.12,0.243,507,96.772
hist202_01_20min,4190,470,1200.24,965.46,3.49,4.34,0.23,425,75.284
hist202_13_20min,4127,409,1200.73,1006.55,3.44,4.1,0.244,570,94.725
hist202_24_20min,4034,441,1207.76,980.08,3.34,4.12,0.243,514,91.273
hist251_01_20min,3206,513,1200.01,785.79,2.67,4.08,0.245,300,55.353
hist251_13_20min,3782,448,1202.05,871.63,3.15,4.34,0.23,287,46.555
hist251_24_20min,3310,525,1200.89,790.23,2.76,4.19,0.239,263,43.704
span300_01_20min,3158,508,1200.5,803.82,2.63,3.93,0.255,338,63.501
span300_13_20min,3155,467,1200.84,764.08,2.63,4.13,0.242,352,57.996
span300_24_20min,3309,463,1202.56,847.58,2.75,3.9,0.256,400,79.383
